Collect wood           5.0
Place table            7.0
Make wood pickaxe      8.0
Collect stone         10.0
Make stone pickaxe    13.0
Collect iron          57.0
Collect coal          45.0
Place furnace         62.0
Make iron pickaxe     63.0
Collect diamond       73.0
Collect wood           5.0
Place table            8.0
Make wood pickaxe     13.0
Collect stone         16.0
Make stone pickaxe    20.0
Collect iron          49.0
Collect coal          53.0
Place furnace         57.0
Make iron pickaxe     58.0
Collect diamond       60.0
Collect wood            4.0
Place table            14.0
Make wood pickaxe      20.0
Collect stone          41.0
Make stone pickaxe     60.0
Collect iron           95.0
Collect coal           78.0
Place furnace          99.0
Make iron pickaxe     100.0
Collect diamond       102.0
Collect wood           4.0
Place table           10.0
Make wood pickaxe     11.0
Collect stone         20.0
Make stone pickaxe    28.0
Collect iron          36.0
Collect coal          73.0
Place furnace         94.0
Make iron pickaxe     95.0
Collect diamond       97.0
Collect wood           2.0
Place table            7.0
Make wood pickaxe      8.0
Collect stone         16.0
Make stone pickaxe    23.0
Collect iron          76.0
Collect coal          87.0
Place furnace          92
Make iron pickaxe      93
Collect diamond        95
